"","X","subjid","bias","preferred_side","infusion_side","before_bias","infusion_bias","after_bias","free_increment","risky_before_bias","risky_infusion_bias","risky_after_bias","risky_increment"
"1",1,2154,-0.507692307692308,"left","R",-0.515151515151515,0.357142857142857,-0.25,0.872294372294372,-0.0277777777777778,0.257142857142857,0.222641509433962,0.284920634920635
"2",2,2155,0.363636363636364,"right","R",0.363636363636364,0.891891891891892,0.794871794871795,0.528255528255528,0.0827586206896552,0.471698113207547,0.422492401215805,0.388939492517892
"3",3,2156,-0.262295081967213,"left","L",-0.217391304347826,0.882352941176471,-0.234042553191489,1.0997442455243,0.203125,0.0526315789473684,0.188328912466843,-0.150493421052632
"4",4,2160,0.368421052631579,"right","L",-0.688888888888889,-0.36,-0.783783783783784,0.328888888888889,-0.214285714285714,-0.215686274509804,-0.270967741935484,-0.00140056022408966
"5",5,2165,-0.627118644067797,"left","R",-0.58974358974359,-0.263157894736842,-0.391304347826087,0.326585695006748,-0.196428571428571,0,-0.329268292682927,0.196428571428571
"6",6,2166,0.108433734939759,"right","L",0,-0.04,1,-0.04,0.182978723404255,0.391304347826087,0.445255474452555,0.208325624421832
