"","subjid","elpd","elpd.1"
"elpd",2152,-4753.50316518396,94.6482115014181
"elpd1",2153,-2967.25217371957,29.3191483070356
"elpd2",2154,-2074.02135810202,29.7162153683764
"elpd3",2155,-2090.61045790546,23.8762207055076
"elpd4",2156,-3161.01672587499,40.9058760635064
"elpd5",2160,-1306.76869533369,25.4692192304645
"elpd6",2165,-332.828106545337,12.0567211728545
"elpd7",2166,-476.871313747752,14.0770093261475
