"","subjid","elpd","elpd.1"
"elpd",2152,-3940.58815690001,56.6200265573808
"elpd1",2153,-3080.73185718975,29.3527893812117
"elpd2",2154,-2090.16041091989,30.4416381356123
"elpd3",2155,-2115.49936230789,26.9459317424732
"elpd4",2156,-3260.49634159555,44.5068237234088
"elpd5",2160,-1342.8256059278,25.7805978064748
"elpd6",2165,-352.980740552202,12.7894294230861
"elpd7",2166,-471.199254179228,13.2650223029663
