"","subjid","elpd","elpd.1"
"elpd",2152,-4971.7533874421,123.730583854215
"elpd1",2153,-2855.07397273464,32.2728995008185
"elpd2",2154,-2038.73619527551,28.2919944142217
"elpd3",2155,-2056.57115340381,23.5410204507613
"elpd4",2156,-3179.86424551056,36.7483324919243
"elpd5",2160,-1261.20304852054,20.9717317489246
"elpd6",2165,-315.173947664599,11.6003904165682
"elpd7",2166,-478.398644246713,14.132280326997
